INTEGER	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT	TEXT
year	semester	room	faculty1	faculty2	faculty3	faculty4	name	code	slot
2022	Jan-May	AAB 18	Albert Sunny				Computational Methods and Applications	CS5016	E
2022	Jan-May	AAB 33	Krishnamoorthy Dinesh				Computational Complexity	CS5616	F
2022	Jan-May	AAB 18	Deepak Rajendraprasad				Probabilistic Method	CS6003	D
2022	Jan-May	AAB 18	Satyajit Das				Big Data Lab	CS5104	T2
2022	Jan-May	AAB 33	Sahely Bhadra				Responsible AI	CS6006	C
2022	Jan-May	AAB 18	Kiran	Vivek Chaturvedi			PreSilicon Design Verification using Formal Property Verification	CS5626	B
2022	Aug-Dec	A 112	Krithika Ramaswamy					CS5013	D2 (Tue), A2 (Mon)
2022	Aug-Dec	A 120	Jasine Babu					CS5009	C2, H (Wed)
2022	Aug-Dec	A. Comp Lab (1st floor)	Piyush P Kurur					CS3130	P5
2022	Aug-Dec	A. 18	Srimanta Bhattacharya					CS5614	A2 (Thu), B2 (Thu), B1
2022	Aug-Dec	A. 120	Sandeep Chandran					CS5628	D
2022	Aug-Dec	A. 120	Jasine Babu					CS5633	F, J
2022	Aug-Dec	A. 119	Krithika R					CS6002	D
2022	Aug-Dec	A. Aud	Piyush P Kurur					CS5627	E
2022	Aug-Dec	A. 112	Sahely Bhadra					DS5005	D
2022	Aug-Dec	A. 120	Vivek Chaturvedi					CS5019	C
2022	Aug-Dec	A. Comp Lab (1st floor)	Vivek Chaturvedi					CS5119	P2
2022	Aug-Dec	A. Comp Lab (1st floor)	Deepak Rajendraprasad	Krishnamoorthy Dinesh				CS5107	P3
2022	Aug-Dec	A. 18	Albert Sunny					CS4010	C
2022	Aug-Dec	A. Comp Lab (Ground floor)	Albert Sunny					CS4150	P4
2022	Aug-Dec		Srimanta Bhattacharya					CS4110	
2022	Aug-Dec	A. MBA 211	Koninika Pal					DS5603	D
2022	Aug-Dec	A 112, A. Comp. Lab (1st Floor), A. Electronics Lab	Sahely Bhadra	Narayanan C Krishnan				DS3010	P6
2022	Aug-Dec	A. 18	Krishnamoorthy Dinesh					CS3050	A
2022	Aug-Dec	A. 112	Krishnamoorthy Dinesh					CS5017	A
2022	Aug-Dec	A. Comp lab (Ground floor)	Piyush P Kurur					CS3030	P5
2022	Aug-Dec	A. Comp lab (Ground floor)	Satyajit Das					DS5602	F
2022	Aug-Dec	A. 18	Sandeep Chandran					CS3010	B
2022	Aug-Dec	A. Comp lab (Ground floor)	Sandeep Chandran					CS3110	P7
